Fault ID,Fault Type,"Fault Location (Latitude, Longitude)",Voltage (V),Current (A),Power Load (MW),Temperature (°C),Wind Speed (km/h),Weather Condition,Maintenance Status,Component Health,Duration of Fault (hrs),Down time (hrs)
F001,Line Breakage,"(34.0522, -118.2437)",2200.0,250.0,50.0,25.0,20.0,Clear,Scheduled,Normal,2.0,1.0
F002,Transformer Failure,"(34.056, -118.245)",1800.0,180.0,45.0,28.0,15.0,Rainy,Completed,Faulty,3.0,5.0
F003,Overheating,"(34.0525, -118.244)",2100.0,230.0,55.0,35.0,25.0,Windstorm,Pending,Overheated,4.0,6.0
F004,Line Breakage,"(34.055, -118.242)",2050.0,240.0,48.0,23.0,10.0,Clear,Completed,Normal,2.5,3.0
F005,Transformer Failure,"(34.0545, -118.243)",1900.0,190.0,50.0,30.0,18.0,Snowy,Scheduled,Faulty,3.5,4.0
F006,Overheating,"(34.05, -118.24)",2150.0,220.0,52.0,32.0,22.0,Thunderstorm,Pending,Overheated,5.0,7.0
F007,Line Breakage,"(34.9449, -118.9839)",1994.0,233.0,51.0,23.0,21.0,Snowy,Completed,Normal,3.7,6.1
F008,Transformer Failure,"(34.2294, -118.2988)",2133.0,229.0,52.0,20.0,18.0,Snowy,Scheduled,Normal,5.4,2.1
F009,Line Breakage,"(34.1279, -118.8442)",2155.0,240.0,45.0,21.0,29.0,Rainy,Pending,Overheated,3.2,4.7
F010,Line Breakage,"(34.4192, -118.8254)",2065.0,199.0,55.0,25.0,21.0,Clear,Scheduled,Normal,4.0,2.8
F011,Overheating,"(34.3732, -118.1586)",2118.0,221.0,45.0,20.0,20.0,Clear,Completed,Normal,4.9,1.9
F012,Transformer Failure,"(34.0465, -118.623)",2106.0,247.0,47.0,25.0,13.0,Clear,Completed,Normal,2.4,6.9
F013,Line Breakage,"(34.9687, -118.5356)",2012.0,248.0,52.0,24.0,29.0,Clear,Completed,Faulty,3.9,6.4
F014,Line Breakage,"(34.3229, -118.46)",2289.0,192.0,52.0,35.0,28.0,Rainy,Scheduled,Normal,4.1,5.8
F015,Line Breakage,"(34.2256, -118.9178)",1848.0,231.0,49.0,39.0,13.0,Rainy,Scheduled,Faulty,2.7,5.0
F016,Transformer Failure,"(34.7105, -118.5379)",2102.0,246.0,53.0,38.0,18.0,Rainy,Completed,Faulty,3.5,1.9
F017,Overheating,"(34.9346, -118.9658)",2263.0,229.0,55.0,21.0,16.0,Rainy,Scheduled,Normal,4.5,6.0
F018,Line Breakage,"(34.1619, -118.6775)",2092.0,241.0,52.0,31.0,16.0,Thunderstorm,Completed,Faulty,6.0,3.7
F019,Transformer Failure,"(34.5459, -118.8822)",1943.0,245.0,50.0,30.0,15.0,Snowy,Completed,Faulty,5.1,3.7
F020,Line Breakage,"(34.668, -118.6576)",2065.0,213.0,46.0,31.0,23.0,Clear,Pending,Normal,2.4,6.9
F021,Line Breakage,"(34.1203, -118.2873)",1864.0,224.0,49.0,34.0,23.0,Thunderstorm,Scheduled,Overheated,2.7,5.9
F022,Overheating,"(34.1949, -118.16)",1913.0,182.0,48.0,31.0,26.0,Thunderstorm,Scheduled,Overheated,5.4,4.2
F023,Overheating,"(34.3627, -118.7696)",2284.0,247.0,47.0,31.0,15.0,Clear,Pending,Normal,4.5,6.2
F024,Line Breakage,"(34.8432, -118.2489)",1877.0,249.0,54.0,33.0,16.0,Snowy,Scheduled,Faulty,3.2,6.4
F025,Transformer Failure,"(34.8937, -118.532)",1869.0,218.0,45.0,22.0,18.0,Thunderstorm,Pending,Faulty,2.8,5.4
